,LOC_BLANK,BRANCH_COUNT,CALL_PAIRS,LOC_CODE_AND_COMMENT,LOC_COMMENTS,CONDITION_COUNT,CYCLOMATIC_COMPLEXITY,CYCLOMATIC_DENSITY,DECISION_COUNT,DECISION_DENSITY,DESIGN_COMPLEXITY,DESIGN_DENSITY,EDGE_COUNT,ESSENTIAL_COMPLEXITY,ESSENTIAL_DENSITY,LOC_EXECUTABLE,PARAMETER_COUNT,HALSTEAD_CONTENT,HALSTEAD_DIFFICULTY,HALSTEAD_EFFORT,HALSTEAD_ERROR_EST,HALSTEAD_LENGTH,HALSTEAD_LEVEL,HALSTEAD_PROG_TIME,HALSTEAD_VOLUME,MAINTENANCE_SEVERITY,MODIFIED_CONDITION_COUNT,MULTIPLE_CONDITION_COUNT,NODE_COUNT,NORMALIZED_CYLOMATIC_COMPLEXITY,NUM_OPERANDS,NUM_OPERATORS,NUM_UNIQUE_OPERANDS,NUM_UNIQUE_OPERATORS,NUMBER_OF_LINES,PERCENT_COMMENTS,LOC_TOTAL,Defective
10,0.060976,0.213836,0.461538,0.0,0.182891,0.245902,0.191489,0.173077,0.258621,0.0,0.274194,0.892473,0.264706,0.0,0.0,0.342926,0.0,0.574906,0.219351,0.071191,0.302703,0.342432,0.047619,0.071191,0.303153,0.020619,0.230769,0.245902,0.292683,0.145833,0.27204,0.388707,0.37299,0.411765,0.282119,0.408453,0.28629,0
11,0.030488,0.037736,0.038462,0.025,0.0,0.04918,0.031915,0.288462,0.051724,0.0,0.048387,0.784946,0.055882,0.0,0.0,0.045564,0.055556,0.071419,0.143524,0.00522,0.030631,0.043672,0.095238,0.00522,0.030817,0.175258,0.046154,0.04918,0.065041,0.270833,0.055416,0.036825,0.07074,0.25,0.031788,0.103017,0.040323,1
12,0.073171,0.050314,0.192308,0.0125,0.047198,0.065574,0.042553,0.173077,0.068966,0.0,0.080645,1.0,0.073529,0.0,0.0,0.091127,0.166667,0.139385,0.133462,0.007888,0.052252,0.069479,0.095238,0.007888,0.050916,0.14433,0.061538,0.065574,0.085366,0.125,0.060453,0.076105,0.096463,0.294118,0.086093,0.38746,0.076613,1
13,0.0,0.025157,0.115385,0.0,0.0,0.02459,0.021277,0.269231,0.017241,0.166667,0.032258,0.731183,0.029412,0.103448,1.0,0.038369,0.055556,0.121321,0.083877,0.003155,0.030631,0.04268,0.166667,0.003155,0.029579,1.0,0.030769,0.02459,0.03252,0.3125,0.044081,0.042553,0.073955,0.191176,0.018543,0.0,0.030242,1
14,0.042683,0.0,0.076923,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.016129,1.0,0.002941,0.0,0.0,0.014388,0.111111,0.026852,0.033003,0.000228,0.003604,0.005459,0.357143,0.000228,0.003256,0.484536,0.0,0.0,0.004065,0.166667,0.006297,0.005728,0.012862,0.088235,0.01457,0.0,0.010081,1
15,0.006098,0.0,0.153846,0.0,0.00885,0.0,0.0,0.134615,0.0,0.0,0.016129,1.0,0.008824,0.0,0.0,0.031175,0.111111,0.091749,0.056991,0.001337,0.016216,0.024814,0.238095,0.001337,0.016409,0.484536,0.0,0.0,0.012195,0.125,0.020151,0.028642,0.045016,0.176471,0.019868,0.189629,0.024194,1
16,0.060976,0.050314,0.076923,0.025,0.041298,0.065574,0.042553,0.269231,0.068966,0.0,0.016129,0.27957,0.058824,0.103448,0.6,0.06235,0.055556,0.05196,0.165177,0.005342,0.028829,0.041191,0.071429,0.005342,0.027582,0.659794,0.061538,0.065574,0.065041,0.166667,0.041562,0.041735,0.045016,0.25,0.066225,0.463367,0.054435,1
17,0.02439,0.037736,0.0,0.0,0.0,0.04918,0.031915,0.403846,0.051724,0.0,0.0,0.139785,0.041176,0.0,0.0,0.033573,0.055556,0.023818,0.150286,0.002817,0.016216,0.02531,0.095238,0.002817,0.014972,0.175258,0.046154,0.04918,0.044715,0.375,0.021411,0.028642,0.016077,0.176471,0.021192,0.0,0.02621,1
18,0.091463,0.050314,0.153846,0.0625,0.056047,0.065574,0.042553,0.269231,0.068966,0.0,0.048387,0.645161,0.052941,0.0,0.0,0.052758,0.111111,0.082613,0.16719,0.007683,0.041441,0.057568,0.071429,0.007683,0.040117,0.14433,0.061538,0.065574,0.056911,0.125,0.064232,0.05401,0.07074,0.25,0.087417,0.641596,0.052419,1
19,0.060976,0.025157,0.038462,0.0875,0.029499,0.032787,0.021277,0.269231,0.034483,0.0,0.016129,0.462366,0.026471,0.0,0.0,0.021583,0.0,0.055517,0.189648,0.007201,0.034234,0.048139,0.071429,0.007201,0.033169,0.226804,0.030769,0.032787,0.028455,0.145833,0.046599,0.049918,0.051447,0.294118,0.045033,0.738635,0.030242,1
20,0.036585,0.012579,0.230769,0.0,0.017699,0.016393,0.010638,0.192308,0.017241,0.0,0.032258,1.0,0.029412,0.0,0.0,0.035971,0.111111,0.116753,0.071802,0.002365,0.025225,0.036725,0.190476,0.002365,0.024935,0.309278,0.015385,0.016393,0.036585,0.145833,0.040302,0.035188,0.067524,0.161765,0.033113,0.308911,0.028226,1
21,0.073171,0.213836,0.461538,0.2875,0.19174,0.229508,0.191489,0.173077,0.224138,0.046667,0.145161,0.462366,0.291176,0.275862,0.42,0.297362,0.055556,0.265309,0.396603,0.104693,0.255856,0.295285,0.02381,0.104693,0.25512,0.43299,0.230769,0.229508,0.329268,0.145833,0.319899,0.279869,0.29582,0.5,0.29404,0.56124,0.294355,0
22,0.036585,0.075472,0.230769,0.075,0.020649,0.065574,0.074468,0.192308,0.068966,0.0,0.096774,0.763441,0.097059,0.0,0.0,0.122302,0.388889,0.132968,0.216856,0.018233,0.077477,0.099752,0.047619,0.018233,0.076882,0.082474,0.061538,0.065574,0.105691,0.208333,0.089421,0.107201,0.122186,0.411765,0.090066,0.258168,0.112903,0
23,0.018293,0.0,0.076923,0.0,0.0,0.0,0.0,0.134615,0.0,0.0,0.0,0.462366,0.008824,0.0,0.0,0.031175,0.111111,0.062038,0.066409,0.001252,0.014414,0.022333,0.190476,0.001252,0.013317,0.484536,0.0,0.0,0.012195,0.145833,0.026448,0.020458,0.032154,0.102941,0.018543,0.0,0.024194,1
24,0.036585,0.050314,0.038462,0.0,0.023599,0.065574,0.042553,0.269231,0.068966,0.0,0.032258,0.462366,0.041176,0.0,0.0,0.067146,0.111111,0.182173,0.082669,0.004396,0.043243,0.061042,0.166667,0.004396,0.042442,0.14433,0.061538,0.065574,0.04065,0.208333,0.049118,0.069558,0.083601,0.191176,0.05298,0.264841,0.054435,1
25,0.164634,0.0,0.076923,0.0125,0.056047,0.0,0.0,0.096154,0.0,0.0,0.016129,1.0,0.005882,0.0,0.0,0.038369,0.055556,0.105838,0.10545,0.004147,0.032432,0.05062,0.119048,0.004147,0.032182,0.484536,0.0,0.0,0.00813,0.020833,0.062972,0.043372,0.057878,0.117647,0.080795,0.662033,0.032258,0
26,0.030488,0.100629,0.192308,0.0875,0.115044,0.122951,0.085106,0.057692,0.12069,0.043333,0.112903,0.784946,0.164706,0.241379,0.78,0.290168,1.0,0.408704,0.214763,0.049459,0.214414,0.255087,0.047619,0.049459,0.214121,0.793814,0.123077,0.122951,0.195122,0.083333,0.27204,0.244681,0.282958,0.294118,0.225166,0.369665,0.256048,1
27,0.018293,0.012579,0.038462,0.0,0.0,0.016393,0.010638,0.403846,0.017241,0.0,0.016129,0.645161,0.014706,0.0,0.0,0.014388,0.111111,0.028944,0.077839,0.00098,0.009009,0.015385,0.166667,0.00098,0.008587,0.309278,0.015385,0.016393,0.01626,0.354167,0.012594,0.018003,0.012862,0.117647,0.009272,0.0,0.010081,1
28,0.115854,0.0,0.038462,0.025,0.0,0.0,0.0,0.038462,0.0,0.0,0.016129,1.0,0.052941,0.0,0.0,0.064748,0.0,0.199086,0.075022,0.004058,0.043243,0.061042,0.190476,0.004058,0.042442,0.484536,0.0,0.0,0.073171,0.041667,0.078086,0.050736,0.099678,0.117647,0.060927,0.079383,0.056452,1
29,0.018293,0.0,0.0,0.0,0.0,0.0,0.0,0.192308,0.0,0.0,0.0,0.462366,0.0,0.0,0.0,0.019185,0.111111,0.017192,0.053691,0.000396,0.005405,0.00794,0.238095,0.000396,0.004014,0.484536,0.0,0.0,0.0,0.1875,0.007557,0.009002,0.006431,0.073529,0.011921,0.0,0.014113,1
30,0.030488,0.0,0.038462,0.05,0.035398,0.0,0.0,0.192308,0.0,0.0,0.016129,1.0,0.0,0.0,0.0,0.009592,0.166667,0.030269,0.034935,0.00027,0.003604,0.006948,0.333333,0.00027,0.003857,0.484536,0.0,0.0,0.0,0.083333,0.005038,0.009002,0.009646,0.088235,0.030464,0.855554,0.014113,1
31,0.054878,0.012579,0.153846,0.0,0.032448,0.016393,0.010638,0.134615,0.017241,0.0,0.016129,0.645161,0.032353,0.0,0.0,0.052758,0.055556,0.103397,0.10392,0.003966,0.032432,0.045658,0.142857,0.003966,0.031108,0.309278,0.015385,0.016393,0.04065,0.083333,0.035264,0.053191,0.057878,0.235294,0.05298,0.392187,0.042339,0
32,0.060976,0.012579,0.076923,0.0375,0.032448,0.016393,0.010638,0.153846,0.017241,0.0,0.032258,1.0,0.014706,0.0,0.0,0.038369,0.111111,0.114172,0.070434,0.00225,0.025225,0.034243,0.190476,0.00225,0.024033,0.309278,0.015385,0.016393,0.01626,0.083333,0.030227,0.037643,0.067524,0.220588,0.050331,0.540665,0.03629,0
33,0.085366,0.037736,0.076923,0.0625,0.00295,0.04918,0.031915,0.211538,0.051724,0.0,0.064516,1.0,0.047059,0.103448,0.75,0.052758,0.111111,0.041149,0.154633,0.004058,0.021622,0.035236,0.095238,0.004058,0.021849,0.793814,0.046154,0.04918,0.052846,0.166667,0.039043,0.033552,0.032154,0.176471,0.05298,0.245377,0.052419,1
34,0.054878,0.012579,0.115385,0.025,0.0059,0.016393,0.010638,0.230769,0.017241,0.0,0.032258,1.0,0.017647,0.0,0.0,0.026379,0.0,0.103989,0.098527,0.003639,0.030631,0.044665,0.142857,0.003639,0.029791,0.309278,0.015385,0.016393,0.020325,0.166667,0.040302,0.048282,0.057878,0.191176,0.029139,0.264841,0.024194,1
35,0.0,0.025157,0.346154,0.0125,0.067847,0.02459,0.021277,0.25,0.017241,0.166667,0.048387,1.0,0.044118,0.0,0.0,0.040767,0.0,0.095341,0.074378,0.002116,0.021622,0.031266,0.190476,0.002116,0.02144,0.226804,0.030769,0.02459,0.052846,0.125,0.028967,0.033552,0.057878,0.205882,0.051656,0.709857,0.034274,1
36,0.060976,0.050314,0.307692,0.05,0.0,0.065574,0.042553,0.230769,0.068966,0.0,0.080645,1.0,0.076471,0.0,0.0,0.067146,0.0,0.200133,0.077839,0.004331,0.045045,0.066501,0.166667,0.004331,0.044005,0.14433,0.061538,0.065574,0.089431,0.208333,0.062972,0.069558,0.07717,0.117647,0.05298,0.146392,0.0625,1
37,0.02439,0.0,0.076923,0.0125,0.035398,0.0,0.0,0.269231,0.0,0.0,0.0,0.462366,0.005882,0.0,0.0,0.009592,0.055556,0.056563,0.033567,0.000405,0.007207,0.009926,0.333333,0.000405,0.006648,0.484536,0.0,0.0,0.00813,0.104167,0.011335,0.00982,0.032154,0.132353,0.025166,0.785764,0.008065,0
38,0.103659,0.113208,0.153846,0.0125,0.023599,0.131148,0.095745,0.423077,0.12069,0.083333,0.064516,0.408602,0.111765,0.206897,0.6,0.083933,0.277778,0.12289,0.270466,0.025743,0.088288,0.113648,0.047619,0.025743,0.088689,0.628866,0.138462,0.131148,0.117886,0.291667,0.118388,0.111293,0.135048,0.426471,0.078146,0.250243,0.070565,1
39,0.219512,0.062893,0.192308,0.075,0.041298,0.081967,0.053191,0.192308,0.086207,0.0,0.096774,1.0,0.073529,0.0,0.0,0.091127,0.0,0.251221,0.159301,0.018249,0.102703,0.127543,0.095238,0.018249,0.102612,0.113402,0.076923,0.081967,0.081301,0.104167,0.139798,0.120295,0.199357,0.308824,0.121854,0.43445,0.086694,0
40,0.95122,0.377358,0.192308,0.6625,0.079646,0.459016,0.319149,0.365385,0.448276,0.05,0.145161,0.258065,0.364706,0.37931,0.35,0.189448,0.055556,0.249058,0.395557,0.098316,0.23964,0.286352,0.02381,0.098316,0.240053,0.360825,0.461538,0.459016,0.382114,0.166667,0.331234,0.257774,0.257235,0.411765,0.425166,0.673989,0.264113,1
41,0.292683,0.339623,0.423077,0.7625,0.094395,0.418033,0.287234,0.173077,0.413793,0.04,0.33871,0.741935,0.458824,0.896552,0.93,0.381295,0.166667,0.688276,0.317073,0.16853,0.50991,0.545906,0.02381,0.16853,0.510156,0.927835,0.415385,0.418033,0.52439,0.145833,0.578086,0.525368,0.543408,0.397059,0.394702,0.501182,0.441532,1
42,0.04878,0.025157,0.0,0.025,0.041298,0.02459,0.021277,0.384615,0.017241,0.166667,0.0,0.193548,0.017647,0.068966,0.67,0.021583,0.0,0.035256,0.099412,0.001681,0.012613,0.019851,0.142857,0.001681,0.012635,0.742268,0.030769,0.02459,0.01626,0.3125,0.018892,0.021277,0.025723,0.191176,0.018543,0.717503,0.020161,1
43,0.042683,0.0,0.115385,0.0,0.026549,0.0,0.0,0.25,0.0,0.0,0.016129,1.0,0.005882,0.0,0.0,0.014388,0.055556,0.055308,0.0,0.0,0.001802,0.001985,1.0,0.0,0.000799,0.484536,0.0,0.0,0.00813,0.104167,0.003778,0.001637,0.009646,0.0,0.02649,0.595857,0.010081,1
44,0.073171,0.100629,0.076923,0.0,0.0,0.131148,0.085106,0.307692,0.137931,0.0,0.129032,0.892473,0.123529,0.310345,1.0,0.105516,0.111111,0.236086,0.063028,0.00359,0.043243,0.062531,0.214286,0.00359,0.043176,1.0,0.123077,0.131148,0.138211,0.291667,0.057935,0.066285,0.093248,0.132353,0.071523,0.0,0.086694,1
45,0.0,0.012579,0.076923,0.025,0.0,0.016393,0.010638,0.307692,0.017241,0.0,0.032258,1.0,0.020588,0.0,0.0,0.016787,0.111111,0.053982,0.040248,0.000512,0.007207,0.012903,0.309524,0.000512,0.007479,0.309278,0.015385,0.016393,0.02439,0.354167,0.010076,0.015548,0.019293,0.102941,0.009272,0.185319,0.016129,0
46,0.256098,0.050314,0.384615,0.0625,0.129794,0.065574,0.042553,0.230769,0.068966,0.0,0.080645,1.0,0.073529,0.0,0.0,0.06235,0.0,0.161773,0.085004,0.004138,0.03964,0.055087,0.166667,0.004138,0.038911,0.14433,0.061538,0.065574,0.085366,0.0625,0.054156,0.056465,0.090032,0.191176,0.152318,0.840956,0.060484,1
47,0.073171,0.100629,0.076923,0.0,0.0,0.131148,0.085106,0.307692,0.137931,0.0,0.129032,0.892473,0.123529,0.310345,1.0,0.105516,0.111111,0.204073,0.07148,0.003837,0.041441,0.061538,0.190476,0.003837,0.041701,1.0,0.123077,0.131148,0.138211,0.291667,0.057935,0.064648,0.083601,0.132353,0.071523,0.0,0.086694,1
48,0.02439,0.0,0.0,0.0375,0.0,0.0,0.0,0.153846,0.0,0.0,0.0,0.462366,0.002941,0.0,0.0,0.019185,0.111111,0.032675,0.056025,0.000607,0.007207,0.012407,0.238095,0.000607,0.006697,0.484536,0.0,0.0,0.004065,0.145833,0.011335,0.013912,0.012862,0.088235,0.017219,0.245377,0.020161,1
49,0.060976,0.163522,0.307692,0.025,0.19174,0.213115,0.138298,0.115385,0.224138,0.0,0.080645,0.354839,0.202941,0.344828,0.71,0.342926,0.333333,0.390257,0.358931,0.123968,0.333333,0.381638,0.02381,0.123968,0.332896,0.721649,0.2,0.213115,0.227642,0.104167,0.414358,0.360884,0.344051,0.397059,0.288742,0.431253,0.290323,1
50,0.128049,0.062893,0.192308,0.025,0.088496,0.07377,0.053191,0.326923,0.068966,0.066667,0.064516,0.688172,0.055882,0.0,0.0,0.059952,0.055556,0.067618,0.17041,0.006829,0.036036,0.056576,0.071429,0.006829,0.034781,0.113402,0.076923,0.07377,0.056911,0.125,0.054156,0.05892,0.038585,0.161765,0.100662,0.706103,0.052419,1
51,1.0,0.672956,1.0,0.4625,0.563422,0.508197,0.723404,0.269231,0.448276,0.123333,0.725806,0.634409,0.694118,0.896552,0.38,0.851319,0.055556,0.523469,0.76793,0.710842,0.920721,0.909181,0.0,0.710842,0.920361,0.371134,0.553846,0.52459,0.682927,0.145833,0.890428,0.92144,0.797428,0.955882,1.0,0.538162,0.788306,1
52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.211538,0.0,0.0,0.0,0.462366,0.002941,0.0,0.0,0.016787,0.0,0.049623,0.009418,6.4e-05,0.001802,0.00397,0.666667,6.4e-05,0.002053,0.484536,0.0,0.0,0.004065,0.25,0.002519,0.005728,0.009646,0.044118,0.006623,0.0,0.012097,1
53,0.02439,0.025157,0.038462,0.0375,0.0,0.032787,0.021277,0.269231,0.034483,0.0,0.048387,1.0,0.058824,0.0,0.0,0.031175,0.111111,0.115393,0.128471,0.006282,0.041441,0.060546,0.095238,0.006282,0.041593,0.226804,0.030769,0.032787,0.073171,0.270833,0.075567,0.051555,0.080386,0.176471,0.023841,0.189629,0.030242,1
54,0.018293,0.050314,0.038462,0.0,0.0,0.04918,0.042553,0.403846,0.034483,0.223333,0.016129,0.27957,0.038235,0.172414,1.0,0.043165,0.055556,0.045508,0.120744,0.002785,0.01982,0.029777,0.119048,0.002785,0.018417,1.0,0.061538,0.04918,0.036585,0.395833,0.027708,0.031915,0.028939,0.176471,0.025166,0.0,0.034274,1
55,0.469512,0.100629,0.230769,0.05,0.091445,0.131148,0.085106,0.076923,0.137931,0.0,0.145161,1.0,0.188235,0.0,0.0,0.290168,0.055556,0.701283,0.192949,0.068172,0.326126,0.367742,0.071429,0.068172,0.326637,0.072165,0.123077,0.131148,0.227642,0.041667,0.321159,0.398527,0.401929,0.323529,0.30596,0.300292,0.25,1
56,0.02439,0.062893,0.076923,0.0125,0.0,0.081967,0.053191,0.230769,0.086207,0.0,0.096774,1.0,0.123529,0.0,0.0,0.086331,0.055556,0.536616,0.063028,0.007804,0.095495,0.124566,0.214286,0.007804,0.095803,0.113402,0.076923,0.081967,0.150407,0.270833,0.15869,0.10311,0.196141,0.088235,0.051656,0.032393,0.072581,1
57,0.012195,0.0,0.115385,0.0,0.026549,0.0,0.0,0.134615,0.0,0.0,0.016129,1.0,0.011765,0.0,0.0,0.028777,0.055556,0.08746,0.074861,0.001994,0.01982,0.029777,0.190476,0.001994,0.019986,0.484536,0.0,0.0,0.01626,0.104167,0.027708,0.031915,0.051447,0.191176,0.027815,0.463367,0.022177,1
58,0.079268,0.037736,0.269231,0.0125,0.058997,0.04918,0.031915,0.326923,0.051724,0.0,0.064516,1.0,0.044118,0.0,0.0,0.040767,0.0,0.081148,0.044434,0.000822,0.012613,0.019355,0.285714,0.000822,0.011845,0.175258,0.046154,0.04918,0.04878,0.145833,0.016373,0.022095,0.032154,0.117647,0.064901,0.663562,0.034274,1
59,0.012195,0.037736,0.076923,0.0125,0.0,0.04918,0.031915,0.230769,0.051724,0.0,0.064516,1.0,0.105882,0.0,0.0,0.057554,0.055556,0.247873,0.090799,0.006785,0.061261,0.087841,0.142857,0.006785,0.061414,0.175258,0.046154,0.04918,0.134146,0.270833,0.11335,0.072013,0.11254,0.102941,0.033113,0.044905,0.048387,1
60,0.006098,0.0,0.0,0.0,0.0,0.0,0.0,0.480769,0.0,0.0,0.0,0.462366,0.0,0.0,0.0,0.002398,0.055556,0.006521,0.077839,0.000541,0.005405,0.007444,0.166667,0.000541,0.003946,0.484536,0.0,0.0,0.0,0.416667,0.010076,0.006547,0.006431,0.088235,0.0,0.0,0.0,1
61,0.280488,0.226415,0.230769,0.25,0.283186,0.270492,0.191489,0.269231,0.258621,0.063333,0.048387,0.139785,0.270588,0.275862,0.42,0.203837,0.055556,0.229286,0.395557,0.091199,0.223423,0.275931,0.02381,0.091199,0.222511,0.43299,0.276923,0.270492,0.300813,0.125,0.309824,0.254501,0.209003,0.352941,0.324503,0.779091,0.209677,0
62,0.042683,0.037736,0.115385,0.05,0.014749,0.040984,0.031915,0.230769,0.034483,0.11,0.032258,0.569892,0.044118,0.068966,0.5,0.05036,0.0,0.062038,0.157208,0.005536,0.030631,0.047643,0.095238,0.005536,0.030074,0.587629,0.046154,0.040984,0.04878,0.1875,0.037783,0.054828,0.03537,0.205882,0.046358,0.34756,0.048387,1
63,0.140244,0.062893,0.0,0.125,0.050147,0.081967,0.053191,0.326923,0.086207,0.0,0.0,0.075269,0.064706,0.137931,0.67,0.040767,0.166667,0.036721,0.200354,0.00607,0.027027,0.046154,0.071429,0.00607,0.026164,0.701031,0.076923,0.081967,0.069106,0.145833,0.039043,0.051555,0.019293,0.147059,0.086093,0.75073,0.052419,1
64,0.134146,0.025157,0.153846,0.1125,0.091445,0.032787,0.021277,0.115385,0.034483,0.0,0.032258,0.731183,0.041176,0.0,0.0,0.06235,0.333333,0.134572,0.112936,0.005717,0.043243,0.058561,0.119048,0.005717,0.042379,0.226804,0.030769,0.032787,0.04878,0.041667,0.062972,0.056465,0.096463,0.235294,0.113907,0.772418,0.068548,1
65,0.04878,0.012579,0.038462,0.0125,0.032448,0.016393,0.010638,0.230769,0.017241,0.0,0.0,0.27957,0.020588,0.0,0.0,0.028777,0.222222,0.100014,0.085004,0.002747,0.025225,0.039206,0.166667,0.002747,0.025206,0.309278,0.015385,0.016393,0.02439,0.0625,0.039043,0.040098,0.051447,0.147059,0.063576,0.556096,0.024194,1
66,0.006098,0.012579,0.192308,0.0,0.032448,0.016393,0.010638,0.134615,0.017241,0.0,0.032258,1.0,0.023529,0.0,0.0,0.052758,0.111111,0.140536,0.075344,0.002998,0.030631,0.045161,0.190476,0.002998,0.030786,0.309278,0.015385,0.016393,0.028455,0.104167,0.036524,0.051555,0.067524,0.191176,0.042384,0.392187,0.042339,1
67,0.006098,0.025157,0.038462,0.0125,0.0,0.032787,0.021277,0.403846,0.034483,0.0,0.048387,1.0,0.044118,0.0,0.0,0.021583,0.055556,0.047182,0.086453,0.001596,0.014414,0.02134,0.166667,0.001596,0.01367,0.226804,0.030769,0.032787,0.052846,0.416667,0.030227,0.016367,0.038585,0.147059,0.011921,0.08689,0.018145,1
68,0.073171,0.037736,0.115385,0.0125,0.00295,0.04918,0.031915,0.384615,0.051724,0.0,0.048387,0.784946,0.041176,0.137931,1.0,0.033573,0.111111,0.058969,0.073815,0.001435,0.014414,0.022333,0.190476,0.001435,0.01408,1.0,0.046154,0.04918,0.044715,0.25,0.023929,0.022095,0.03537,0.147059,0.034437,0.126373,0.028226,1
69,0.054878,0.037736,0.038462,0.0,0.050147,0.032787,0.031915,0.365385,0.017241,0.333333,0.032258,0.569892,0.023529,0.137931,1.0,0.038369,0.111111,0.098375,0.082267,0.002563,0.025225,0.035732,0.166667,0.002563,0.024111,1.0,0.046154,0.032787,0.020325,0.166667,0.034005,0.037643,0.057878,0.191176,0.05298,0.606006,0.030242,0
